Skill,Turkce_Skill
Jsp servlets,Jsp servlets
Telemarketing,Telesatış
Personal assistant and front office,Kişisel Asistan ve Ön Ofis
Network,Ağ
Dcdp,Dcdp
Pharmacy,Eczacılık
Laser,Lazer
Tools,Araçlar
Emacs,Emacs
Knolwedge mangement,Bilgi Yönetimi
Icwa,Icwa
Disaster recovery,Felaket Kurtarma
Interiors,İç Mekan
Erp sales,ERP Satış
Primary sales,Birincil Satış
Xml files,Xml dosyaları
Statistics,İstatistik
Knowledge of c,C Bilgisi
Claims,Talepler
System analysis,Sistem Analizi
Production management,Üretim Yönetimi
Nist 800-53,Nist 800-53
Slas,Slas
Cutomer experience,Müşteri Deneyimi
Web 2.0,Web 2.0
Software architecture,Yazılım Mimarisi
Event planning,Etkinlik Planlama
Automobile,Otomobil
Business excellence,İş Mükemmelliği
Whql,Whql
Quickbooks,Quickbooks
Learning &amp; development,Learning &amp; development
Lead management,Potansiyel Müşteri Yönetimi
Supervision,Denetim
Net,Net
Goods,Mallar
Sap sd consultant,Sap sd consultant
Web parts,Web parts
Legal notices,Yasal Bildirimler
Unity3d,Unity3d
Counsel,Danışman
Hr talent acquisition,İK Yetenek Kazanımı
Distributors,Dağıtıcılar
Pmo,Pmo
Domain management,Etki Alanı Yönetimi
Software services,Yazılım Hizmetleri
Product strategy,Ürün Stratejisi
Mechanical metallurgy,Mekanik Metalurji
Ticket booking,Bilet Rezervasyonu
Voice support,Ses Desteği
Sales telemarketing,Satış Telesatışı
Senior developer,Kıdemli Geliştirici
Product plan,Ürün Planı
Comscore,Comscore
Project,Proje
Architecture,Mimari
Business planning,İş Planlaması
Control system,Kontrol Sistemi
Bills,Faturalar
Vb,Vb
Bodyshops,Vücut Atölyeleri
Good communication skills,İyi İletişim Becerileri
Catalogue,Katalog
Research skills,Araştırma Becerileri
Arinc,Arinc
Reportnet,Reportnet
Sans,Sans
Technical support analyst,Teknik Destek Analisti
Enterprise application integration,Kurumsal Uygulama Entegrasyonu
Reporting tools,Raporlama Araçları
It management,BT Yönetimi
Eam,Eam
Import,İthalat
Front office executive,Ön Ofis Yöneticisi
Community development,Topluluk Gelişimi
Windows server,Windows server
Product testing,Ürün Testi
4G,4G
Tech lead,Teknik Lider
Software installation,Yazılım Kurulumu
Radian6,Radian6
Reading engineering drawing...,Reading engineering drawing...
Ssas,Ssas
Service delivery,Hizmet Teslimi
MISRA,MISRA
Arbor,Arbor
Homologation,Homologasyon
Basel,Basel
Consumables,Sarf Malzemeleri
Call-recording,Çağrı Kayıt
Branding activities,Marka Faaliyetleri
Information management,Bilgi Yönetimi
Acca,Acca
W3c,W3c
Delivery,Teslimat
Quartz,Quartz
Nagios,Nagios
Seo optimization,Seo optimizasyonu
Embedded software,Embedded yazılım
Perl,Perl
Business change management,İş değişim yönetimi
Freelancing job,Freelance iş
Application development,Uygulama geliştirme
Follow ups,Takip
Mpeg,Mpeg
Field engineer,Saha mühendisi
Sales executive sales,Satış yönetici satış
System testing,Sistem testi
Industry research,Endüstri araştırması
Digital forensics,Dijital adli tıp
Asic design,Asic tasarımı
First encounter,İlk temas
Gtk,Gtk
Finance control,Finans kontrolü
Cassandra,Cassandra
Iso,Iso
Solutions,Çözümler
Content developer,İçerik geliştiricisi
Hmc machine,Hmc makinesi
Statistical modeling,İstatistiksel modelleme
Practice management,Uygulama yönetimi
Printers,Yazıcılar
2d,2d
Ad operations,Reklam operasyonları
Social science,Sosyal bilimler
Relationship manager,İlişki yöneticisi
Presentations,Sunumlar
Sales &amp; marketing,Sales &amp; marketing
Transition,Geçiş
Procurement,Tedarik
Structured cabling,Yapılandırılmış kablolama
Information technology staffing,Bilgi teknolojisi personel alımı
Team handling,Takım yönetimi
Pastry,Pasta
Financial planning,Finansal planlama
Wxwidgets,Wxwidgets
MIPI,MIPI
Medical affairs,Tıbbi işler
It recruitment,IT personel alımı
Sessions,Oturumlar
Indian taxation,Hindistan vergilendirmesi
Hni client handling,Hni müşteri yönetimi
Apparels,Giyim
Us shift,US vardiyas
Integrator,Entegratör
Isdn,Isdn
Brand testing,Marka testi
Technical hr executive,Teknik İKY yöneticisi
Biotechnology jobs,Biyoteknoloji işleri
System design,Sistem tasarımı
Lidar,Lidar
Pipeline,Borhattı
Inkjet,Inkjet
Daily operations,Günlük operasyonlar
Mktg,Pazarlama
Rman,Rman
Room attendant,Oda görevlisi
Sale,Satış
Bookkeeping,Defter tutma
Load balancing,Yük dengeleme
Press release,Basın bülteni
Ht,Ht
Team center,Team center
Spc,Spc
Bigdata,Büyük veri
Flat file,Düz dosya
Ods,Ods
Spring mvc,Spring mvc
Teacher,Öğretmen
It portfolio management,IT portföy yönetimi
Bulk,Toptan
Vmware thinapp,Vmware thinapp
Government sales,Devlet satışı
Rest,Rest
Full stack,Tam yığın
Framework design,Çerçeve tasarımı
Waitress,Garson
Core data,Core data
Search engine optimization,Arama motoru optimizasyonu
Key,Anahtar
Changeman,Changeman
Scrum management,Scrum yönetimi
Asset accounting,Varlık muhasebesi
Blackberry,Blackberry
Ibm rational functional tester,Ibm rational functional tester
Social media marketing,Sosyal medya pazarlaması
Automation,Otomasyon
Advertising technology,Reklam teknolojisi
Python scripting,Python betikleme
MIMO,MIMO
Software as a service,Yazılım hizmeti olarak
Military,Askeri
Technology solutions,Teknoloji çözümleri
Tax planning,Vergi planlaması
Catalog analyst,Katalog analisti
Pstn,Pstn
Imagery,Görüntüleme
Analysis,Analiz
P2p,P2p
Process re - engineering,İşlem yeniden mühendisliği
Auto,Otomobil
Ahmsi,Ahmsi
Bps,Bps
Procedure,Prosedür
Adult education,Yetişkin eğitimi
Turning servers,Sunucuları döndürme
Site head - high rise projects,Site baş - yüksek bina projeleri
Medical coding,Tıbbi kodlama
Proof reader,Proofları okuyucu
Ppap,Ppap
German account assistant,Alman hesap asistanı
Ios,Ios
Expert,Uzman
Ir drop,Ir düşüşü
Graduates,Mezunlar
Ecommerce,E-ticaret
Waste water testing,Atık su testi
Ps3,Ps3
Night shifts,Gece vardiyası
Fresher job in chandigarh mohali,Chandigarh mohali'deki acemi işi
Back - office processing,Arka ofis işleme
Rtmp,Rtmp
Navigator,Seyrüseferci
Accounting,Muhasebe
Internet technologies,İnternet teknolojileri
Online marketing,Çevrimiçi pazarlama
Microsoft sccm,Microsoft sccm
Ppc executive,Ppc yöneticisi
Graphic design,Grafik tasarımı
Reconciliation,Mutabakat
Specialist,Uzman
Production,Üretim
Operations,Operasyonlar
Food,Yiyecek
Internet information services,İnternet bilgi hizmetleri
Sap basis,Sap basis
Strategic alliance,Stratejik ittifak
Transport operations,Taşımacılık operasyonları
Work,Çalışma
Engineer,Mühendis
Inbound sales,Gelen satış
Windows drivers,Windows sürücüleri
Mks,Mks
Tax advisory,Vergi danışmanlığı
Site,Site
Sem optimization,Sem optimizasyonu
Puppet,Puppet
Print book trainers,Basılı Kitap Eğitmenleri
Machine learning,Makine öğrenimi
Cbcp,Cbcp
Bofc,Bofc
Ios application development,iOS Uygulama Geliştirme
Office assistance,Ofis Yardımcısı
Creditors ledger,Borçlu Kayıtları
Systems design,Sistem Tasarımı
Malware analysis,Kötü Amaşlı Yazılım Analizi
Products,Ürünler
Methods,Yöntemler
Recruitment process,İse Alım Süreci
Meeting room,Toplantı Salonu
Domain consultant,Alan Danışmanı
Joining formalities,Katılma Süreçleri
Clinical operations,Klinik İşlemler
Employee relations,Çalışan İlişkileri
Support services,Destek Hizmetleri
Jda,Jda
Website development,Web Sitesi Geliştirme
X - steel,X - steel
Cre,Cre
Jobs for graduates,Mezunlar için İşler
Diagnostics,Teşhis
Digital data,Sayısal Veri
Prd,Prd
Review,İnceleme
Airlines,Havayolları
Records management,Kayıt Yönetimi
Excellent communication,Mükemmel İletişim
Bancassurance,Bankasürans
Storage+,Depolama+
Senior sales manager,Kıdemli Satış Müdürü
Infopath,Infopath
General manager,Genel Müdür
Finance application,Finans Uygulaması
Career development,Kariyer Gelişimi
Electricals,Elektrikler
Risk analysis,Risk Analizi
Marking machines,İşaretleme Makineleri
Clinical trial agreements,Klinik Deneme Anlaşmaları
Co,Co
Bancassurance sales,Bankasürans Satışı
Ffmpeg,ffmpeg
Digital contact optimisation,Sayısal İletişim Optimizasyonu
Optical fiber,Optik Fiber
Content writing,İçerik Yazımı
End point,Uç Nokta
Central management console,Merkezi Yönetim Konsolu
Fuzz testing,Fuzz Testi
Production scheduling,Üretim Planlaması
Jobs in hyderabad,Haydarabat'taki İşler
Real estate management,Gayrimenkul Yönetimi
Qa process,Kalite Güvence Süreci
Search engines,Arama Motorları
District manager,Bölge Müdürü
AU,AU
Sales planning,Satış Planlaması
Sales coordinator,Satış Koordinatörü
Software test,Yazılım Testi
Soft skills trainer,Yumuşak Beceriler Eğitmeni
Learning deliverables,Öğrenme Teslimatları
Arbitration,Tahkim
Usb,usb
Tibco,Tibco
Calls,Çağrılar
Credit risk,Kredi Riski
Data design,Veri Tasarımı
Micro - strategy,Mikro - strateji
Manager,Müdür
Bd,Bd
Tfs,Tfs
Guest relation executive,Misafir İlişkileri Yöneticisi
Account determination,Hesap Belirleme
Financial analysis,Finansal Analiz
Contact center,İletişim Merkezi
Team management,Takım Yönetimi
Abs paint,Abs paint
Customer tat,Müşteri Memnuniyeti
Strategy,Strateji
Civil works,İnşaat İşleri
Sqoop,Sqoop
Soap,Soap
Human resource head,İnsan Kaynakları Şefi
Head quality,Kalite Şefi
Back office process,Arka Ofis Süreci
Fire,Yangın
Testing tools,Test Araçları
Air testing,Hava Testi
Black belt,Siyah Kuşak
Inbound calls,Gelen Çağrılar
Test method,Test Yöntemi
Design engineering,Tasarım Mühendisliği
Planner,Planlamacı
Mentorship,Mentorluk
Internet marketing,İnternet Pazarlaması
Good brand name,İyi Marka Adı
MIDI,MIDI
Physical fitness,Fiziksel Uygunluk
Php lead,PHP Lideri
Reports,Raporlar
Load test,Yük Testi
Hplc,Hplc
Apache subversion,Apache Subversion
Back end,Arka Uç
Systems engineers,Sistem Mühendisleri
Cash book,Kasa Defteri
Policies,Politikalar
Bd manager - it,BT Yönetim Kurulu Üyesi
Graphic designer,Grafik Tasarımcısı
Device,Cihaz
Qa management,Kalite Güvence Yönetimi
Non voice,Ses Dışı
Activity management,Faaliyet Yönetimi
Marketing collateral,Pazarlama Materyalleri
Problem resolution,Sorun Çözümü
Radio/mobile,Radyo/Mobil
Infographics,Bilgilendirici Grafikler
Pointroll,Pointroll
Product manage,Ürün Yönetimi
Design &amp; development,Design &amp; development
Public relations,Halkla İlişkiler
Excise duty,Özel Tüketim Vergisi
Sap mm consultant,SAP MM Danışmanı
Fund management,Fon Yönetimi
Solution,Çözüm
Payroll administration,Bordro Yönetimi
User experience,Kullanıcı Deneyimi
Data analyst,Veri Analisti
Wire frame,Tel Çerçeve
Property,Mülkiyet
Rac,Rac
Database modeling,Veritabanı Modellemesi
Sterling,Sterling
Oop,Nesne Yönelimli Programlama
Pm,Proje Yöneticisi
Target achievement,Hedefe Ulaşma
Siemens,Siemens
Design pattern,Tasarım Deseni
Compliance audit,Uyum Denetimi
Tally,Tally
Safety management,Güvenlik Yönetimi
Performance management,Performans Yönetimi
Frontend developer,Ön Uç Geliştiricisi
Clerk,Kâtip
Electrical engineer,Elektrik Mühendisi
Market study,Pazar Çalışması
Dfc,Dfc
Test equipment,Test Ekipmanları
MFG-Pro,MFG-Pro
Accounts officer,Muhasebeci
Turbo Pascal,Turbo Pascal
Workflow optimization,İş akışı optimizasyonu
Teststudio,Teststudio
Preparation,Hazırlık
Mathematics,Matematik
Paid media,Ücretli medya
Post recruitment,İşlem sonrası istihdam
Network engineer routing,Ağ mühendisi yönlendirmesi
Typography,Tipografi
Virtual desktop,Sanal masaüstü
Deployment,Yerleştirme
Problem solving,Problem çözme
Communication trainer,İletişim eğitmeni
Testing,Test etme
Direct tax,Direkt vergi
Process capability,Süreç yeteneği
Penetration,Penetration
Full stack developer,Tam yığın geliştiricisi
Mongo,Mongo
Nonvoice,Nonvoice
Tehnical service desk,Teknik hizmet masası
Asp net,Asp net
Archibus,Archibus
Spring,Spring
Leader,Lider
Gm sales,Genel müdür satış
Data analytics,Veri analitiği
18ib,18ib
Customer relations officer,Müşteri ilişkileri memuru
System admin,Sistem yöneticisi
Manager admin &amp; facilities,Manager admin &amp; facilities
Usability,Kullanılabilirlik
Sap basis consultant,SAP temel danışmanı
German accounting,Alman muhasebesi
Ui design,Kullanıcı arayüzü tasarımı
Training management,Eğitim yönetimi
Erp system,ERP sistemi
Bakery,Fırıncılık
Project accounting,Proje muhasebesi
Actionscript 3,Actionscript 3
Secureworks,Secureworks
Predictive analysis,Tahmine dayalı analiz
Jobs in gurgaon,Jobs in gurgaon
Submission,Sunum
Journalism,Gazetecilik
Rmc,Rmc
Weblogic,Weblogic
Strong communication skills,Güçlü iletişim becerileri
Fleet officer,Filo subayı
Web researcher,Web araştırmacısı
MFC,MFC
MEL,MEL
Dockers,Dockers
Homer,Homer
Xsd,Xsd
Fitter,Fitter
Article writing,Makale yazımı
Bpo jobs in noida,Bpo jobs in noida
Diameter,Diameter
Banquet sales,Konferans satış
Staff management,Personel yönetimi
Us market,ABD pazarı
Sms sample,Sms sample
Physical design,Fiziksel tasarım
Assembly programming,Assembler programlama
P &amp; l,P &amp; l
Lubricants,Yağlar
Corporate credit,Kurumsal kredi
Cfr,Cfr
Business banking,Ticari bankacılık
Corporate finance,Kurumsal finansman
Recruiter,İşe alım uzmanı
Cisco telepresence,Cisco telepresence
Object oriented design,Nesne yönelimli tasarım
Liabilities,Yükümlülükler
Self motivated,Kendi kendine motive olmuş
Bulk hiring,Toplu işe alım
Us process,ABD süreci
Marketing excutive,Pazarlama yöneticisi
Electronic commerce,Elektronik ticaret
Finance head,Finans başkanı
Component development,Bileşen geliştirme
Adsl,Adsl
Oncology,Onkoloji
Adobe marketing cloud,Adobe marketing cloud
Field service lightning,Field service lightning
Multiplex manager,Multiplex manager
Call monitoring,Çağrı izleme
Problem management,Problem yönetimi
Pdd,Pdd
Manager - bd,Yönetici - bd
Performance improvement,Performans iyileştirme
Sales coordination,Satış koordinasyonu
Audit review,Denetim incelemesi
Secondary sales,İkincil satış
Urban planning,Kentsel planlama
Indexing,Endeksleme
Customer facing,Müşteri odaklı
Change management,Değişim yönetimi
Pre acquisition,Önceden satın alma
Applications,Uygulamalar
MDRs,MDRs
Nutrition &amp; dietetics,Nutrition &amp; dietetics
Geography,Coğrafya
Freelance,Serbest çalışan
Network engineering,Ağ mühendisliği
Map-reduce,Map-reduce
L3,L3
Senior waiter,Kıdemli garson
Affiliate marketing,Bağlı pazarlama
Us taxation,ABD vergilendirmesi
Functional specification,Fonksiyonel spesifikasyon
Online marketing strategy,Çevrimiçi pazarlama stratejisi
Template,Şablon
Hospitality,Konukevi
Identity access mangement,Kimlik erişim yönetimi
Icd-10,Icd-10
Commerce,Ticaret
Business strategies,İş stratejileri
Art,Sanat
User experience design,Kullanıcı deneyimi tasarımı
Tutor,Eğitmen
Production head,Üretim başkanı
Container,Konteyner
New product,Yeni ürün
Us it recruitment,ABD BT istihdamı
Helpdesk support,Yardım masası desteği
Lcms,Lcms
Oracle administration,Oracle yönetimi
Pdi+,Pdi+
Mortgage equity research,Mortgage equity research
User manuals,Kullanıcı kılavuzları
Solr,Solr
Legal advice,Hukuki danışmanlık
Ux designer,Kullanıcı deneyimi tasarımcısı
Xml publisher reports,Xml yayıncı raporları
Electrical wiring,Elektrik kablolaması
Sales officer,Satış memuru
Lead trainer,Baş eğitimci
Scalability,Ölçeklenebilirlik
Product development,Ürün geliştirme
Omb,Omb
Release planning,Sürüm planlaması
Enterprise sales,Kurumsal satış
Photovoltaic,Fotovoltaik
Institutional sales,Kurumsal satış
Branch sales,Şube satışı
Team management skills,Takım yönetim becerileri
Admin officer,Yönetici memuru
Insurance sales,Sigortacılık
Quality audit,Kalite denetimi
Web - services,Web - services
MD&A,MD&A
Wmi,Wmi
Twinfield,Twinfield
Business objects financial consolidation,İş Nesneleri finansal konsolidasyon
Am - business development,Am - iş geliştirme
Mobile game,Mobile game
Adobe livecycle designer,Adobe livecycle designer
Credit cards,Kredi kartları
Offshore development,Açık deniz geliştirme
Brand building,Marka oluşturma
Cmc,Cmc
Operational risk,Operasyonel risk
Fmcg sales,Fmcg satış
Excel &amp; tally,Excel &amp; tally
Adobe analytics,Adobe analytics
Market segmentation,Pazar segmentasyonu
Lifescience,Lifescience
Interpretation,Yorumlama
Media,Medya
Hardware,Donanım
Disk imaging,Disk görüntüleme
Dispatch planning,Sevkiyat planlaması
Vrtx,Vrtx
Verint,Verint
Subnetwork,Alt ağ
Wcm,Wcm
Unity 3d,Unity 3d
Ruby,Ruby
Nav,Nav
Transfer pricing manager,Transfer fiyat yöneticisi
E mail,E-posta
Warehouse,Depo
L2,L2
Ui development,Kullanıcı arayüzü geliştirme
Civil design,Civil design
Java servlets,java servlets
Bench sales,Bench sales
Tat,Tat
Process flow,Process flow
Nift,Nift
Hydraulics,Hidrolik
Techno functional,Techno functional
Business solutions,İş çözümleri
Mis preparation,Yönetim bilgi sistemi hazırlığı
Hortonworks,Hortonworks
Scap,Scap
Ppp,Ppp
Equity sales,Hisse senedi satışı
Modules,Modüller
Iis administrator,Iis yöneticisi
Telesales telemarketing,Telesatış telemarketing
